Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
2-spheroid,18,0.003,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,21,0.004,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,24,0.003,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,27,0.003,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-bioreactor,18,0.012,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,21,0.01,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,22,0.007,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,23,0.007,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,24,0.008,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,25,0.007,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,26,0.008,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,27,0.009,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
3-MPCC,3,24.727,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,15,19.636,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,29,25.091,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPH,3,2.364,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,15,4.727,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,29,9.636,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-CC,3,6.727,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,15,8.182,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,29,10.0,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-RCC,3,5.636,6.21,1.0,3.0,,2,-1,-1.0,0,1
3-RCC,15,20.182,6.21,1.0,3.0,,2,-1,-1.0,0,1
3-RCC,29,24.727,6.21,1.0,3.0,,2,-1,-1.0,0,1
4-spheroid,3,26.435,8.0,0.0667,-1.0,,2,-1,-1.0,0,1
4-spheroid,5,10.783,8.0,0.0667,-1.0,,2,-1,-1.0,0,1
4-spheroid,7,12.522,8.0,0.0667,-1.0,,2,-1,-1.0,0,1
4-spheroid,10,15.826,8.0,0.0667,-1.0,,2,-1,-1.0,0,1
4-spheroid,12,6.435,8.0,0.0667,-1.0,,2,-1,-1.0,0,1
4-spheroid,14,4.522,8.0,0.0667,-1.0,,2,-1,-1.0,0,1
4-spheroid,17,4.522,8.0,0.0667,-1.0,,2,-1,-1.0,0,1
4-spheroid,19,5.739,8.0,0.0667,-1.0,,2,-1,-1.0,0,1
5-SCS,2,25.83,10.0,0.1,-1.0,,1,3,3.0,0,1
5-SCS,4,25.572,10.0,0.1,-1.0,,1,3,3.0,0,1
5-SCS,6,43.911,10.0,0.1,-1.0,,1,3,3.0,0,1
5-SCS,8,43.137,10.0,0.1,-1.0,,1,3,3.0,0,1
5-PCS,2,14.465,10.0,0.1,-1.0,,1,3,3.0,30,1
5-PCS,4,20.406,10.0,0.1,-1.0,,1,3,3.0,30,1
5-PCS,6,26.089,10.0,0.1,-1.0,,1,3,3.0,30,1
5-PCS,8,10.849,10.0,0.1,-1.0,,1,3,3.0,30,1
6-spheroid,2,3.055,8.0,0.18,-1.0,100.0,1,1,2.0,0,1
6-spheroid,3,4.364,8.0,0.18,-1.0,100.0,1,1,2.0,0,1
6-spheroid,5,5.073,8.0,0.18,-1.0,100.0,1,1,2.0,0,1
7-PET,1,281.579,10.0,0.1,-1.0,125.47,1,1,2.0,0,1
7-PET,3,521.053,10.0,0.1,-1.0,125.47,1,1,2.0,0,1
7-PET,5,616.842,10.0,0.1,-1.0,125.47,1,1,2.0,0,1
7-PET,7,712.632,10.0,0.1,-1.0,125.47,1,1,2.0,0,1
7-PS,1,137.895,10.0,0.1,-1.0,125.47,1,2,1.0,0,1
7-PS,3,584.912,10.0,0.1,-1.0,125.47,1,2,1.0,0,1
7-PS,5,616.842,10.0,0.1,-1.0,125.47,1,2,1.0,0,1
7-PS,7,760.526,10.0,0.1,-1.0,125.47,1,2,1.0,0,1
7-TS-PS,1,0.48,8.0,0.5,-1.0,118.36,1,2,1.0,0,1
7-TS-PS,2,0.783,8.0,0.5,-1.0,118.36,1,2,1.0,0,1
7-TS-PS,3,0.979,8.0,0.5,-1.0,118.36,1,2,1.0,0,1
7-TS-PS,4,1.477,8.0,0.5,-1.0,118.36,1,2,1.0,0,1
7-TS-PS,5,1.619,8.0,0.5,-1.0,118.36,1,2,1.0,0,1
7-TS-PS,6,3.06,8.0,0.5,-1.0,118.36,1,2,1.0,0,1
7-TS-PS,7,1.068,8.0,0.5,-1.0,118.36,1,2,1.0,0,1
9-donor B,3,1.542,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,4,4.687,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,6,6.855,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,7,6.422,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,8,7.94,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,10,6.855,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,11,9.892,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,12,9.024,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,13,9.892,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
10-Small,1,5.639,4.0,2.0,-1.0,195.0,2,-1,7.0,0,1
10-Medium,1,3.966,4.0,2.0,-1.0,320.0,2,-1,7.0,0,1
10-Large,1,2.521,4.0,2.0,-1.0,493.0,2,-1,7.0,0,1
10-Extra Large,1,2.315,4.0,4.0,-1.0,548.0,2,-1,7.0,0,1
11-spheroid,21,9.225,22.0,1.0,-1.0,100.0,2,-1,-1.0,0,1
12-spheroid,7,0.049,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,8,0.739,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,9,0.585,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,10,0.772,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,12,0.632,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,13,1.015,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,14,0.735,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,15,0.585,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,16,0.622,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,17,0.604,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,18,0.533,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,21,0.571,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,23,0.505,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,25,0.332,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
13-5C,1,2.84,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,3,3.023,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,9,3.518,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,12,5.42,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,15,4.664,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,18,3.883,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,22,2.814,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,25,3.674,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,29,3.257,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-3D,9,5.524,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,12,6.932,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,15,4.456,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,18,3.857,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,22,3.883,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,25,3.205,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,29,3.205,8.0,0.015,-1.0,,2,-1,-1.0,0,1
c5-static co,3,58.516,8.24,1.0,0.25,150.0,2,-1,-1.0,0,1
c5-static co,7,14.4,8.24,1.0,0.25,150.0,2,-1,-1.0,0,1
c17-spheroid,2,23.251,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,4,31.921,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,6,27.98,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,8,16.158,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,12,9.852,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,14,4.729,10.0,0.1,-1.0,,1,3,3.9,0,1
2-spheroid,1,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,2,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,3,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,4,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,5,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,6,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,7,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,8,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,9,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,10,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,11,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,12,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,13,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,14,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,15,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,16,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,17,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,19,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,20,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,22,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,23,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,25,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,26,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,28,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,29,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,30,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,31,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,32,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,33,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,34,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,35,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,36,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,37,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,38,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,39,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,40,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,41,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,42,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,43,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,44,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,45,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,46,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,47,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,48,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,49,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,50,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,51,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,52,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,53,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,54,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,55,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,56,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,57,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,58,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,59,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,60,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-bioreactor,1,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,2,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,3,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,4,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,5,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,6,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,7,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,8,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,9,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,10,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,11,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,12,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,13,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,14,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,15,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,16,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,17,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,19,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,20,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,28,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,29,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,30,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,31,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,32,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,33,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,34,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,35,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,36,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,37,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,38,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,39,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,40,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,41,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,42,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,43,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,44,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,45,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,46,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,47,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,48,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,49,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,50,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,51,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,52,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,53,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,54,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,55,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,56,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,57,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,58,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,59,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,60,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
3-MPCC,1,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,2,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,4,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,5,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,6,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,7,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,8,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,9,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,10,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,11,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,12,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,13,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,14,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,16,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,17,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,18,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,19,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,20,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,21,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,22,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,23,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,24,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,25,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,26,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,27,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,28,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,30,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,31,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,32,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,33,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,34,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,35,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,36,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,37,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,38,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,39,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,40,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,41,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,42,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,43,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,44,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,45,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,46,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,47,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,48,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,49,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,50,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,51,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,52,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,53,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,54,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,55,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,56,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,57,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,58,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,59,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,60,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPH,1,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,2,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,4,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,5,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,6,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,7,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,8,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,9,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,10,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,11,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,12,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,13,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,14,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,16,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,17,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,18,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,19,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,20,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,21,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,22,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,23,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,24,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,25,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,26,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,27,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,28,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,30,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,31,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,32,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,33,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,34,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,35,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,36,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,37,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,38,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,39,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,40,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,41,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,42,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,43,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,44,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,45,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,46,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,47,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,48,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,49,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,50,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,51,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,52,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,53,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,54,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,55,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,56,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,57,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,58,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,59,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-MPH,60,,6.0,0.1,-1.0,,2,-1,-1.0,0,1
3-CC,1,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,2,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,4,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,5,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,6,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,7,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,8,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,9,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,10,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,11,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,12,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,13,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,14,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,16,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,17,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,18,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,19,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,20,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,21,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,22,,6.0,1.0,-1.0,,2,-1,-1.0,0,1
